year,local,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2005,광주,29,Gwangju,광주광역시,,,,,,,,,,,,,,,,"2,112,276","1,434,245","204,148","473,883",44.7,17.01,27.69,"228,743","372,449","1,345,037",458,"641,666","20,096,118","24,953,345",,,,,,,60.6,77.1,7.1,"1,401,745",새천년민주당,3rd,박광태,새천년민주당,46.81,정동년,무소속,27.04
2005,대전,30,Daejeon,대전광역시,,,,,,,,,,,,,,,,"1,898,237","1,297,509","164,615","436,113",43.2,15.61,27.58,"193,537","341,873","1,239,599",549,"791,888","22,076,296","28,061,744",,,,,,,75,86.6,6.9,"1,454,638",새천년민주당,3rd,염홍철,한나라당,46.61,홍선기,자민련,40.2
2005,울산,31,Ulsan,울산광역시,,,,,,,,,,,,,,,,"1,442,783","1,116,359","259,647","66,777",53.1,26.26,26.87,"280,386","286,939","1,067,932",566,"611,642","43,941,774","61,626,834",,,,,,,69.9,81.7,5.3,"1,087,648",새천년민주당,3rd,박맹우,한나라당,53.07,송철호,민주노동당,43.61
2005,세종,36,Sejong-si,세종특별자치시,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,새천년민주당,3rd,,,,,,
2005,경기,41,Gyeonggi-do,경기도,,,,,,,,,,,,,,,,"9,382,197","7,959,619","843,888","578,690",48.6,21.64,26.97,"1,532,420","1,910,107","7,081,705",485,"5,070,000","192,127,458","222,816,035",,,,,,,76.2,86.1,7.1,"10,697,215",새천년민주당,3rd,손학규,한나라당,58.37,진념,새천년민주당,35.98
2005,강원,42,Gangwon-do,강원도,,,,,,,,,,,,,,,,"2,387,780","2,070,569","175,112","142,099",70.5,14.17,56.38,"270,056","1,074,253","1,905,500",270,"411,410","24,386,313","29,695,748",,,,,,,27.5,75.9,12.1,"1,513,110",새천년민주당,3rd,김진선,한나라당,71.11,남동우,새천년민주당,28.88
2005,충북,43,Chungcheongbuk-do,충청북도,,,,,,,,,,,,,,,,"1,853,607","1,538,563","184,455","130,589",76.7,21.12,55.63,"277,545","731,023","1,314,190",225,"334,540","28,095,938","33,307,920",,,,,,,31.7,78.2,11.3,"1,488,803",새천년민주당,3rd,이원종,한나라당,58.59,구천서,자민련,33.47
2005,충남,44,Chungcheongnam-do,충청남도,,,,,,,,,,,,,,,,"2,783,270","2,311,672","296,631","174,967",82.9,22.42,60.52,"460,813","1,244,061","2,055,530",274,"535,000","52,594,110","66,603,884",,,,,,,32.7,75.2,13.3,"1,962,646",새천년민주당,3rd,심대평,자민련,66.96,박태권,한나라당,33.03
2005,전북,45,Jeollabuk-do,전라북도,,,,,,,,,,,,,,,,"2,868,831","2,457,540","183,824","227,467",80.3,17.71,62.61,"348,832","1,233,149","1,969,707",193,"368,600","27,104,543","34,414,457",,,,,,,25.1,72.1,12.9,"1,885,335",새천년민주당,3rd,강현욱,새천년민주당,74.56,손주항,무소속,17.12
2005,전남,46,Jellanam-do,전라남도,,,,,,,,,,,,,,,,"3,421,787","2,721,876","357,932","341,978",82.4,11.39,70.98,"292,197","1,820,622","2,564,898",160,"317,820","44,343,551","56,104,942",,,,,,,19.9,69.6,15.6,"1,967,205",새천년민주당,3rd,박태영,새천년민주당,57.76,송재구,무소속,24.24
2005,경북,47,Gyeongsangbuk-do,경상북도,,,,,,,,,,,,,,,,"3,360,492","2,805,319","258,608","296,565",73.9,13.52,60.39,"319,550","1,427,568","2,363,800",211,"570,000","67,050,092","74,596,282",,,,,,,29.6,77.5,13.4,"2,688,491",새천년민주당,3rd,이의근,한나라당,85.49,조영건,무소속,14.5
2005,경남,48,Gyeongsangnam-do,경상남도,,,,,,,,,,,,,,,,"3,696,118","3,178,806","253,496","263,816",71.5,17.78,53.69,"526,031","1,588,625","2,958,925",278,"873,700","65,411,675","76,018,607",,,,,,,37.5,76.1,10.2,"3,160,431",새천년민주당,3rd,김혁규,한나라당,74.5,김두관,새천년민주당,16.88
2005,제주,50,Jeju-do,제주특별자치도,,,,,,,,,,,,,,,,"1,000,220","818,089","54,850","127,281",62.9,14.75,48.17,"123,746","404,163","838,992",434,"240,900","8,452,138","10,530,282",,,,,,,39.3,76,10,"557,569",새천년민주당,3rd,우근민,새천년민주당,51.4,신구범,한나라당,45.41
2006,서울,11,Seoul,서울특별시,,,,,,,,,,,,,,,,"15,189,012","10,387,946","679,405","4,121,662",27.8,17.87,9.92,"1,823,259","1,011,749","10,203,000",862,"8,766,303","245,598,327","292,392,945",,,,,,,94.3,95.4,7.7,"10,181,166",열린우리당,4th,오세훈,한나라당,61.05,강금실,열린우리당,27.31
2006,부산,26,Busan,부산광역시,,,,,,,,,,,,,,,,"5,895,217","3,728,195","527,852","1,639,170",46.6,24.2,22.38,"834,798","772,014","3,449,953",577,"2,100,450","54,818,675","65,299,325",,,,,,,70.2,80.7,8.9,"3,611,992",열린우리당,4th,허남식,한나라당,65.54,오거돈,열린우리당,24.12
2006,대구,27,Daegu,대구광역시,,,,,,,,,,,,,,,,"3,498,180","2,389,041","326,629","782,511",40.2,15.77,24.41,"357,548","553,606","2,267,800",557,"1,398,895","33,816,014","40,255,437",,,,,,,70.7,84.7,8.3,"2,496,115",열린우리당,4th,김범일,한나라당,70.15,이재용,열린우리당,21.08
2006,인천,28,Incheon,인천광역시,,,,,,,,,,,,,,,,"4,479,958","2,785,668","1,035,305","658,985",51.8,22.48,29.28,"587,764","765,384","2,614,339",653,"1,699,046","49,105,565","59,522,631",,,,,,,69.2,76.5,7.2,"2,624,391",열린우리당,4th,안상수,한나라당,61.93,최기선,열린우리당,23.58
2006,광주,29,Gwangju,광주광역시,,,,,,,,,,,,,,,,"2,393,744","1,683,271","210,838","499,635",50.8,18.81,31.98,"279,845","475,800","1,487,880",490,"686,688","21,635,408","26,193,910",,,,,,,57.5,75.1,7.5,"1,407,798",열린우리당,4th,박광태,민주당,51.61,조영택,열린우리당,33.94
2006,대전,30,Daejeon,대전광역시,,,,,,,,,,,,,,,,"2,157,664","1,592,062","247,857","317,745",47.2,19.1,28.07,"265,665","390,477","1,391,013",580,"843,321","23,191,548","29,074,607",,,,,,,72.8,83.9,7.2,"1,466,158",열린우리당,4th,박성효,한나라당,43.83,염홍철,열린우리당,41.14
2006,울산,31,Ulsan,울산광역시,,,,,,,,,,,,,,,,"1,650,668","1,288,859","271,788","90,021",54.2,29.21,25.01,"312,206","267,364","1,068,922",565,"614,879","45,452,776","62,869,561",,,,,,,65.7,82.6,5.6,"1,092,494",열린우리당,4th,박맹우,한나라당,63.23,노옥희,민주노동당,25.25
2006,세종,36,Sejong-si,세종특별자치시,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,열린우리당,4th,,,,,,
2006,경기,41,Gyeonggi-do,경기도,,,,,,,,,,,,,,,,"10,893,964","9,003,555","1,096,740","793,668",48.5,19.11,29.44,"1,501,086","2,312,238","7,855,021",506,"5,415,700","205,603,085","242,756,988",,,,,,,75.2,85.7,7.4,"10,906,033",열린우리당,4th,김문수,한나라당,59.68,진대제,열린우리당,30.75
